Date,US T-Note 10Y Yield,USD/EUR,US Unemployment,US GDP,XAU/USD,USD Index,OIL WTI,VIX,Interest Rates,US T-Bond 30Y Yield,US T-Note 5Y Yield,US T-Note 2Y Yield
2024-12-01,0.499,-0.006,-0.200,107.972,-29.740,2.468,3.720,3.840,-0.160,-5.720,-1.200,-0.030
2024-11-01,-0.599,0.006,-0.300,107.972,-90.250,1.950,-1.260,-9.650,-0.190,1.310,0.150,-0.170
2024-10-01,0.618,0.028,-0.300,107.972,109.310,3.357,1.090,6.430,-0.300,-6.370,-2.750,-1.320
2024-09-01,0.001,0.012,0.500,192.062,131.460,-1.103,-5.380,1.730,-0.200,1.440,0.800,0.770
2024-08-01,0.235,-0.009,-0.100,192.062,54.930,-2.235,-4.360,-1.360,0.000,2.210,1.040,0.640
2024-07-01,-0.248,-0.020,0.300,192.062,122.390,-1.686,-3.630,3.920,0.000,2.470,1.390,0.630
2024-06-01,0.068,0.026,-0.400,204.389,-1.260,0.918,4.550,-0.480,0.000,2.380,1.170,0.650
2024-05-01,-0.655,-0.026,0.000,204.389,41.400,-1.473,-4.940,-2.730,0.000,2.220,0.760,0.250
2024-04-01,0.524,0.010,0.200,204.389,53.190,1.831,-1.240,2.640,0.000,-6.630,-2.440,-1.040
2024-03-01,-0.384,0.000,0.100,48.339,189.140,0.171,4.910,-0.390,0.000,1.220,0.570,0.260
2024-02-01,0.284,-0.017,0.100,48.339,6.050,1.009,2.410,-0.950,0.000,-3.090,-1.930,-1.020
2024-01-01,0.516,0.031,0.100,48.339,-25.400,2.060,4.200,1.900,0.000,-2.690,-0.320,-0.070
2023-12-01,0.132,0.014,-0.100,192.791,26.840,-2.399,-4.310,-0.470,0.000,8.590,2.310,1.240
2023-11-01,-0.943,-0.026,0.000,192.791,53.050,-3.066,-5.060,-5.220,0.000,7.060,2.050,0.680
2023-10-01,-0.126,-0.024,0.500,192.791,134.390,0.679,-9.770,0.620,0.000,-4.460,-1.030,-0.200
2023-09-01,0.334,0.011,-0.700,260.490,-91.430,2.228,7.160,3.950,0.000,-7.850,-1.090,-0.150
2023-08-01,0.013,0.020,0.400,260.490,-24.450,1.961,1.830,-0.060,0.210,-3.000,-0.490,-0.110
2023-07-01,-0.069,0.012,-0.400,260.490,44.620,-0.961,11.160,0.040,0.040,-2.430,-0.320,-0.290
2023-06-01,-0.018,-0.047,-0.300,140.892,-42.730,-1.658,2.550,-4.350,0.020,-1.220,-1.350,-0.610
2023-05-01,0.253,0.043,1.500,140.892,-27.350,2.842,-8.690,2.160,0.230,-3.570,-1.260,-0.820
2023-04-01,0.415,0.008,-2.800,140.892,21.750,-0.783,1.110,-2.920,0.180,0.660,0.330,-0.060
2023-03-01,-0.873,-0.048,1.700,161.262,140.750,-2.639,-1.380,-2.000,0.080,6.030,2.960,1.930
2023-02-01,0.787,0.038,-0.300,161.262,-100.730,2.910,-3.060,1.300,0.240,-6.160,-2.680,-1.370
2023-01-01,-0.637,0.013,0.000,161.262,103.480,-1.354,-0.360,-2.270,0.230,5.320,1.550,0.500
2022-12-01,0.707,0.024,0.000,152.720,55.950,-2.628,-0.090,1.090,0.320,-0.940,-0.390,0.050
2022-11-01,-0.660,-0.042,-0.400,152.720,135.330,-5.523,-5.970,-5.300,0.700,6.810,1.750,0.290
2022-10-01,-0.412,-0.035,0.200,152.720,-26.550,-0.664,7.040,-5.740,0.520,-6.030,-0.880,-0.520
2022-09-01,0.095,0.011,0.200,158.580,-51.030,3.419,-10.060,5.750,0.230,-9.560,-3.230,-1.310
2022-08-01,0.897,-0.009,-0.300,158.580,-54.520,2.886,-9.070,4.540,0.650,-7.720,-2.860,-1.030
2022-07-01,-0.527,0.002,-0.100,158.580,-41.670,1.315,-7.140,-7.380,0.470,5.750,1.540,0.270
2022-06-01,0.257,0.039,0.400,34.335,-30.200,2.698,-8.910,2.520,0.440,-2.690,-1.150,-1.020
2022-05-01,-0.682,-0.062,-0.100,34.335,-59.310,-1.197,9.980,-7.210,0.440,-0.250,0.730,0.590
2022-04-01,0.070,0.033,0.200,34.335,-40.830,4.603,4.410,12.840,0.130,-9.370,-2.460,-1.160
2022-03-01,0.485,0.011,0.100,-56.027,29.330,1.666,4.560,-9.590,0.120,-4.530,-3.470,-1.420
2022-02-01,-0.234,-0.009,-0.700,-56.027,111.430,0.157,7.570,5.320,0.000,-1.030,-0.600,-0.340
2022-01-01,0.216,0.013,0.300,-56.027,-31.920,0.944,12.940,7.610,0.000,-4.820,-2.350,-1.130
2021-12-01,0.161,-0.020,0.300,370.909,54.610,-0.414,9.030,-9.970,0.000,-3.250,-0.360,-0.240
2021-11-01,-0.174,0.016,-0.300,370.909,-9.030,1.886,-17.390,10.930,0.000,2.850,0.160,0.080
2021-10-01,-0.116,-0.015,0.200,370.909,26.150,-0.119,8.540,-6.880,0.000,1.620,-1.670,-0.620
2021-09-01,0.104,0.012,0.300,176.899,-56.770,1.605,6.530,6.660,-0.010,-5.310,-0.760,-0.080
2021-08-01,0.323,0.005,-0.300,176.899,-0.150,0.447,-5.450,-1.760,-0.010,-0.190,-0.270,-0.010
2021-07-01,-0.129,-0.027,0.100,176.899,43.780,-0.243,0.480,2.410,0.020,3.970,0.490,0.040
2021-06-01,-0.068,0.040,0.200,358.795,-136.560,2.438,7.150,-0.930,0.020,2.630,-0.450,-0.160
2021-05-01,0.073,0.007,0.000,358.795,137.770,-1.277,2.740,-1.850,-0.010,0.870,0.470,0.070
2021-04-01,-0.455,-0.045,-0.200,358.795,61.580,-1.966,4.420,-0.790,0.000,2.660,-0.170,-0.070
2021-03-01,0.001,0.020,-0.400,290.217,-26.480,2.354,-2.340,-8.550,-0.010,-6.160,-0.300,0.020
2021-02-01,0.181,-0.001,0.500,290.217,-112.600,0.313,9.300,-5.140,-0.010,-7.970,-1.470,-0.060
2021-01-01,0.081,0.025,-0.200,290.217,-50.400,0.675,3.680,10.340,0.000,-4.470,0.020,0.000
2020-12-01,0.106,0.001,-0.100,233.038,119.470,-1.964,3.180,2.180,0.000,-0.590,0.160,0.070
2020-11-01,-0.220,-0.025,0.200,233.038,-100.930,-2.184,9.550,-17.450,0.000,1.310,0.100,0.000
2020-10-01,0.208,-0.010,0.100,233.038,-7.490,0.115,-4.430,11.650,0.000,-3.810,-0.320,-0.030
2020-09-01,-0.193,0.027,-0.100,1480.887,-84.310,1.796,-2.390,-0.040,-0.010,-1.100,0.010,0.020
2020-08-01,0.298,0.030,0.200,1480.887,-4.940,-1.190,2.340,1.950,0.010,-4.900,-0.210,-0.060
2020-07-01,-0.130,-0.031,0.000,1480.887,194.020,-4.028,1.000,-5.970,0.010,3.720,0.140,0.210
2020-06-01,-0.002,0.001,-0.500,-1631.220,54.370,-0.992,3.780,2.920,0.030,-1.440,0.160,0.000
2020-05-01,0.029,-0.018,0.200,-1631.220,46.210,-0.687,16.650,-6.640,0.000,-1.030,0.340,0.070
2020-04-01,0.473,0.007,-0.100,-1631.220,109.040,-0.064,-1.640,-19.390,-0.600,1.970,0.280,0.040
2020-03-01,-0.153,-0.006,0.100,-276.236,-13.690,1.011,-24.280,13.430,-0.930,7.680,2.930,1.240
